Date,world population
Jan-80,4072884.17
Jan-81,4152018.391
Jan-82,4231262.247
Jan-83,4310748.021
Jan-84,4391109.815
Jan-85,4472843.512
Jan-86,4560277.25
Jan-87,4649597.021
Jan-88,4739746.363
Jan-89,4828371.286
Jan-90,4916383.535
Jan-91,5082146.459
Jan-92,5468619.186
Jan-93,5567887.514
Jan-94,5653337.838
Jan-95,5735022.744
Jan-96,5816649.91
Jan-97,5900590.593
Jan-98,5980310.25
Jan-99,6059799.675
Jan-00,6138559.423
Jan-01,6218713.611
Jan-02,6298315.603
Jan-03,6378512.836
Jan-04,6458277.914
Jan-05,6537664.018
Jan-06,6628997.453
Jan-07,6712335.097
Jan-08,6797469.18
Jan-09,6879688.441
Jan-10,6961567.641
Jan-11,7047322.047
Jan-12,7133331.998
Jan-13,7219765.241
Jan-14,7305294.335
Jan-15,7387509.765
Jan-16,7473957.469
Jan-17,7559440.155
Jan-18,7624705.4